Date,Price
2024-10-14,755.53
2024-10-15,758.38
2024-10-16,761.63
2024-10-17,765.4
2024-10-18,771.59
2024-10-21,775.08
2024-10-22,782.41
2024-10-23,774.82
2024-10-24,778.72
2024-10-25,780.09
2024-10-28,781.59
2024-10-29,788.65
2024-10-30,792.57
2024-10-31,783.26
2024-11-01,788.29
2024-11-04,784.01
2024-11-05,784.9
2024-11-06,766.89
2024-11-07,773.86
2024-11-08,772.48
2024-11-11,753.82
2024-11-12,749.18
2024-11-13,745.14
2024-11-14,741.51
2024-11-15,739.65
2024-11-18,750.39
2024-11-19,755.55
2024-11-20,760.08
2024-11-21,766.89
2024-11-22,775.79
2024-11-25,753.77
2024-11-26,752.93
2024-11-27,757.88
2024-11-28,757.61
2024-11-29,764.85
2024-12-02,758.15
2024-12-03,759.34
2024-12-04,760.36
2024-12-05,763.53
2024-12-06,761.85
2024-12-09,769.99
2024-12-10,777.45
2024-12-11,782.87
2024-12-12,774.0
2024-12-13,765.92
2024-12-16,764.86
2024-12-17,763.14
2024-12-18,761.15
2024-12-19,751.91
2024-12-20,757.86
2024-12-23,755.06
2024-12-24,755.62
2024-12-26,761.14
2024-12-27,757.83
2024-12-30,755.17
2024-12-31,762.32
2025-01-01,762.14
2025-01-02,768.49
2025-01-03,768.13
2025-01-06,771.49
